label,value
Chhatrapati Shivaji Maharaj Terminus (Gpo) (BEST),"18.938434,72.836604"
Chhatrapati Shivaji Maharaj Terminus(Csmt) (BEST),"18.939165,72.83535"
Chheda Nagar (BEST),"19.069399,72.904936"
Chikoowadi (BEST),"19.219514,72.839467"
Childrens Home (BEST),"19.042727,72.928667"
Chinai College (BEST),"19.123219,72.851094"
Chinch Bunder (BEST),"18.958283,72.838517"
Chinch Pada (Sg National Park) (BEST),"19.222868,72.874985"
Chincholi Talao (Navi Mumbai) (BEST),"19.046407,73.01754"
Chinchpada (VVMT),"19.41044298,72.85528237"
Chinchpokli (Local-CR),"18.98697272,72.83284614"
Chinchvali Bunder Road (BEST),"19.179347,72.835902"
"Chinchvali Phatak, Sarvodaya Balika Vidyalaya (BEST)","19.178729,72.84522"
Chinchwad (Local-Pune-Lnl),"18.6402909,73.79169292"
"Chinchwadi, Garten Pada No.1 (BEST)","19.25418503,72.87021797"
Chira Bazar (BEST),"18.949664,72.824813"
Chirag Nagar (BEST),"19.08658,72.898117"
Chitra Cinema (BEST),"19.01382,72.844717"
Chitranagri Entry Gate (BEST),"19.165557,72.878171"
Choksi Hospital (BEST),"19.191937,72.844412"
Chowpatty Band Stand (BEST),"18.955713,72.808685"
Christ Church School (BEST),"18.96976,72.83001"
Chuim Village (BEST),"19.072105,72.825825"
Chunabhatti (BEST),"19.051542,72.867206"
Chunabhatti (Local-Habr),"19.0517347,72.8690748"
Chunabhatti Bus Terminus (BEST),"19.051858,72.868071"
Chunabhatti Phatak (BEST),"19.052935,72.87092"
Churchgate (Local-WR),"18.9354192,72.82725229"
Ciba Company (BEST),"19.134758,72.928725"
"Cipla Company, Military Canteen (BEST)","19.113735,72.926097"
Citi Bank (Bkc) (BEST),"19.068833,72.867748"
Citizen Bank (BEST),"19.24684,72.850319"
Citylight Cinema (BEST),"19.030044,72.841799"
Coal Bunder (BEST),"18.98332,72.85828"
Cocacola Company (BEST),"19.280728,72.926357"
Colaba Bus Station (BEST),"18.912649,72.823191"
"Colaba Bus Station, Post Office (BEST)","18.911184,72.820905"
Collector Bungalow (Aarey Colony) (BEST),"19.15239997,72.87069004"
Collector Office (Bandra-E) (BEST),"19.060964,72.849615"
Community Hall (Bandra-E) (BEST),"19.064432,72.849052"
Comrade Gulabrao Ganacharya Chowk (BEST),"18.985778,72.831108"
Comrade P.K.Kurne Chowk (Worli ) (BEST),"19.004896,72.820921"
Container Corporation Of India (BEST),"19.15562,72.953048"
"Cooperage Telephone Exchange, Yashwantrao Chavan Pratishthan (BEST)","18.925436,72.82806"
Corporation Bank (Dahisar-E) (BEST),"19.259747,72.863"
Cottongreen (Local-Habr),"18.98663065,72.84347248"
Crescenzo (BEST),"19.061715,72.867913"
Cricket Club Of India (BEST),"18.930736,72.822616"
Crisil House (BEST),"19.117336,72.910651"
Crompton Greaves (BEST),"19.134379,72.93497"
Cross Garden (BEST),"19.303093,72.849815"
Cuffe Parade Macchimar Nagar (BEST),"18.917665,72.824649"
Cuffe Parade Police Station (BEST),"18.912013,72.818113"
Cumbala Hill Post Office (BEST),"18.969364,72.808796"
Currey Road (Local-CR),"18.99330648,72.83308913"
D Mart Shopping Centre-Malad-W (BEST),"19.186809,72.835706"
D Monte Garden (BEST),"19.059683,72.826167"
D Souza Nagar (BEST),"19.0958,72.887689"
D.A.V.College (BEST),"19.138752,72.935797"
D.N. Nagar (Metro),"19.120791,72.848132"
"D.N.Nagar, Barfiwala Vidyalaya (BEST)","19.123928,72.830497"
Dadar (Local-WR),"19.01843696,72.84348237"
Dadar East (Mono),"19.016311,72.852302"
Dadar Fire Brigade (BEST),"19.014182,72.845248"
Dadar Market (BEST),"19.021824,72.844084"
Dadar Police Station (BEST),"19.014203,72.835379"
Dadar Station (E) (BEST),"19.017506,72.844116"
Dadar Station (W) (BEST),"19.018317,72.841645"
Dadasaheb Phalke Chitranagri (BEST),"19.163276,72.887593"
Dadasaheb Sarfare Chowk (BEST),"19.012757,72.84884"
Dadlani Park (Thane-W) (BEST),"19.222396,72.995822"
Dadoji Kondev Nagar (Khardev Nagar) (BEST),"19.056003,72.910138"
Dahanu Road (Local-WR),"19.99124249,72.7437524"
Dahanukar Wadi (BEST),"19.20773,72.83723703"
Dahisar  (East) (Metro),"19.130277,72.821314"
Dahisar (Local-WR),"19.25019537,72.85935967"
Dahisar Bridge (BEST),"19.254883,72.856572"
Dahisar Bridge (Link Road) (BEST),"19.25814204,72.853727"
Dahisar Bus Station (BEST),"19.258985,72.873549"
Dahisar Check Naka (BEST),"19.258568,72.871837"
Dahisar Market (BEST),"19.25595,72.858018"
Dahisar Phatak (W) (BEST),"19.247567,72.859183"
Dahisar Police Station (BEST),"19.253289,72.865106"
Dahisar Station (W) (BEST),"19.249844,72.858896"
Dahisar Station Road (E) (BEST),"19.248608,72.862502"
Dahisar Stn (E) (BEST),"19.249628,72.86058"
Dainik Shivner (BEST),"18.99608,72.822705"
Dairy Research Institute (BEST),"19.15232697,72.86723401"
Damodar Park (BEST),"19.095511,72.914469"
Damu Nagar (Extension) (BEST),"19.20433333,72.87853333"
Damu Nagar Bus Station (BEST),"19.200085,72.878087"
"Damu Nagar, Mayur Market (BEST)","19.20096667,72.87888333"
Dana Bazar (BEST),"19.083585,73.008431"
Dandpada (BEST),"19.075068,72.826146"
Dapodi (Local-Pune-Lnl),"18.58122728,73.83272834"
Dargah (Vikhroli-W) (BEST),"19.096622,72.915419"
"Darpan Cinema, Sai Service (BEST)","19.116979,72.85547"
Darukhana (BEST),"18.971396,72.845316"
Darya Mahal (BEST),"18.952505,72.797048"
Dativili (Local-Pnvl-Bsr),"19.1877,73.0583"
Datta Mandir (BEST),"19.209958,72.83773701"
Datta Mandir (Income Tax Colony) (BEST),"19.13131,72.862343"
Datta Mandir (Vakola) (BEST),"19.083,72.85323333"
Datta Nagar (VVMT),"19.42662744,72.82135122"
"Datta Tekdi, Shiv Tekdi (BEST)","19.139422,72.860884"
Datta Wadi (BEST),"19.20047,72.998632"
Dattaguru Co-Operative Housing Society (BEST),"19.047929,72.920201"
Dattani Park (BEST),"19.211599,72.869285"
Dattapada Phatak (BEST),"19.224277,72.856725"
Daulat Nagar (Dahisar) (BEST),"19.236429,72.859294"
Daulat Nagar (Santacruz-W) (BEST),"19.089944,72.833327"
Dava Bazar (Kalbadevi) (BEST),"18.946252,72.829268"
Dawn Mill (BEST),"18.998144,72.828097"
Deepak Cinema (BEST),"19.006919,72.831994"
Dehu Road (Local-Pune-Lnl),"18.68028243,73.73492682"
Dena Bank (Jogeshwari-E) (BEST),"19.133869,72.849823"
Dena Bank (Kandivali-W) (BEST),"19.204244,72.848759"
Deonar BEST Staff Quarters (BEST),"19.047196,72.914054"
Deonar Depot (BEST),"19.045623,72.910844"
Deonar Fire Brigade Colony (BEST),"19.055753,72.92208"
Deonar Municipal Colony (BEST),"19.054326,72.923468"
Deonar Police Station (BEST),"19.0583,72.917842"
Deonar Village (BEST),"19.050251,72.919782"
Derasar Lane (BEST),"19.081822,72.90764"
Desai Municipal Hospital (BEST),"19.178579,72.851115"
Dev Talav (VVMT),"19.36268604,72.79764412"
"Devika Nagar, Eksar Koliwada (BEST)","19.239556,72.845901"
Devipada (BEST),"19.224606,72.864466"
Devipada (Metro),"19.22493156,72.86418408"
Dhairyavan Chowk (BEST),"19.03134579,72.84275817"
Dhake Colony (BEST),"19.12775299,72.83289604"
Dhaniv (VVMT),"19.43653281,72.86192686"
Dhaniv Baag (VVMT),"19.43439446,72.85564184"
Dhanmill Naka (BEST),"19.008219,72.830787"
Dhanukarwadi (Metro),"19.23139936,72.84096036"
Dhanvantari Hospital (BEST),"19.176163,72.953418"
Dharamshi Hall (BEST),"19.226435,72.855268"
"Dharan Talao, Ashtagandha Society (BEST)","19.010831,73.016417"
Dharavi Depot (BEST),"19.051239,72.857982"
Dharavi Flyover (BEST),"19.046347,72.849938"
Dharavi Koliwada (BEST),"19.048382,72.855352"
Dharavi Police Station (BEST),"19.043623,72.857625"
Dharavi Pumping Station (BEST),"19.047148,72.861433"
"Dharavi T Junction, Tapase Chowk (BEST)","19.047586,72.852531"
Dharivali Village (BEST),"19.169721,72.795931"
Dharkhadi (BEST),"19.25241804,72.87362496"
Dheeraj Enclave (BEST),"19.215412,72.869521"
Dhiraj Enclave (BEST),"19.215331,72.869521"
Dhiraj Valley Society (BEST),"19.168345,72.86929"
Dhobi Ghat (Borivali-E) (BEST),"19.23193333,72.86596667"
Dhobi Ghat (Navy Nagar) (BEST),"18.906977,72.812432"
Dhobi Ghat (Trombay) (BEST),"19.035457,72.946746"
"Dhobi Ghat, Dr.Ambedkar Nagar (Backbay) (BEST)","18.910875,72.818532"
Dhobi Talav (VVMT),"19.45842074,72.76839925"
"Dholedev Mandir, Vasari Tekdi No.2 (BEST)","19.173793,72.839785"
Dhumal Nagar (VVMT),"19.42385538,72.8657403"
Dhumal Nagar Naka (VVMT),"19.42385538,72.8657403"
Diamond Bourse (Bkc) (BEST),"19.066511,72.865906"
Diamond Park (Vakola) (BEST),"19.08346667,72.85191667"
Digha Gaon (Local-Trans),"19.17581618,72.99470502"
Dindoshi (Metro),"19.17995068,72.85822539"
Dindoshi Bus Station (BEST),"19.175995,72.86573"
Dindoshi Depot (BEST),"19.175904,72.865701"
Dindoshi Pada (BEST),"19.165557,72.878171"
Dindoshi Session Court (BEST),"19.175706,72.867137"
Diva (Local-Pnvl-Bsr),"19.18874135,73.04286736"
Diva Village Junction (BEST),"19.148218,72.99304"
"Diva Village, Sector 8 (BEST)","19.148263,72.994704"
Divine Child High School (BEST),"19.112882,72.864188"
Dnyan Sarita (Mulund-W) (BEST),"19.178648,72.950547"
Dnyan Sarita (Thane) (BEST),"19.202669,72.949442"
Dnyaneshwar Nagar (BEST),"19.005406,72.85385"
Dnyanoday Vidyalaya (BEST),"19.207069,72.950564"
"Dnyansadhana College, Kopari (BEST)","19.184195,72.96517"
Dnyansagar Vidayalaya (BEST),"19.145892,72.833104"
Dnyansagar Vidyalaya (BEST),"19.145937,72.833351"
Dnyansampada High School (BEST),"19.060586,72.920616"
Dockyard Colony (Kanjurmarg-W) (BEST),"19.131297,72.92672"
Dockyard Road (Local-Habr),"18.96663102,72.84435229"
Dockyard Road Railway Station (BEST),"18.966183,72.844484"
Dolavali (Local-CR),"18.8334969,73.3202396"
Dombivli (Local-CR),"19.218194,73.086785"
Domestic Airport Junction (BEST),"19.09347,72.851532"
Domestic Airport Terminal 1-A (BEST),"19.093409,72.855713"
Domestic Airport Terminal 1-B (BEST),"19.09349,72.855837"
Domnic School (BEST),"19.126424,72.863695"
Don Bosco School (Borivali ) (BEST),"19.229688,72.842351"
Don Bosco School (VVMT),"19.35965324,72.85359811"
Don Bosco Vidyalaya (Nerul) (BEST),"19.01758,73.014424"
"Don Bosco, Khalsa College (BEST)","19.024018,72.857068"
Don Bosco/Khalsa College (BEST),"18.994673,72.853781"
Don Len (VVMT),"19.41799114,72.82187489"
Dongari Pada (BEST),"19.250856,72.973228"
Dongaripada (VVMT),"19.25074542,72.97317644"
Dongre Wadi (BEST),"19.244835,72.868915"
Dongri (BEST),"18.958073,72.835346"
Dongri Jail (BEST),"18.959104,72.836513"
Doordarshan (Worli) (BEST),"19.005942,72.818128"
Doordarshan Colony (BEST),"19.169213,72.871172"
Dr. Shyamaprasad Mukherjee Chowk(Museum) (BEST),"18.926071,72.831553"
Dr.Ambedkar Bhavan (Vidya Nagari) (BEST),"19.072169,72.854653"
Dr.Ambedkar Chowk (Goregaon-E) (BEST),"19.173506,72.85688"
"Dr.Ambedkar Chowk, Indira Nagar Thane (BEST)","19.204747,72.949899"
"Dr.Ambedkar Colony, 18Th Road Khar (BEST)","19.073833,72.829083"
"Dr.Ambedkar Hospital, Parekh Nagar (BEST)","19.208283,72.850648"
Dr.Ambedkar Nagar (Chembur) (BEST),"19.063292,72.902734"
"Dr.Ambedkar Nagar, Dhobi Ghat Colaba (BEST)","18.911481,72.819281"
"Dr.Ambedkar Road, Khar (BEST)","19.070138,72.829361"
Dr.Ambedkar Statue (Fort) (BEST),"18.927055,72.829644"
"Dr.Ambedkar Udyan, Chembur (BEST)","19.058268,72.900418"
"Dr.Ambedkar Udyan, Chembur Station (BEST)","19.062333,72.900369"
"Dr.Ambedkar Udyan, Powai (BEST)","19.124657,72.893978"
Dr.Bhadkamkar Road (BEST),"18.960264,72.817217"
Dr.Cooper Hospital (BEST),"19.107662,72.836782"
"Dr.Datta Samant Chowk, Saki Naka (BEST)","19.102864,72.885738"
"Dr.Datta Samant Chowk, Sakinaka (BEST)","19.105963,72.885385"
"Dr.Datta Samant Chowk,Saki Naka (BEST)","19.102683,72.885614"
Dr.K.B.Hedgewar Chowk (BEST),"19.163903,72.937181"
Dr.K.B.Hedgewar Chowk Bhandup Sonapur (BEST),"19.161418,72.937752"
Dr.M.Iqbal Chowk (J J Hospital) (BEST),"18.962796,72.831781"
"Dr.Ravindra Kulkarni Chowk, Sasmira (Worli) (BEST)","19.010127,72.820356"
Dr.Shirodkar High School (BEST),"18.99948,72.839845"
Dr.Suchak Chowk (BEST),"19.187549,72.850063"
Dronagiri (Local-Bsu),"18.881062,72.9642122"
Dudhsagar Society (BEST),"19.168231,72.859279"
Dukes Company (Deonar) (BEST),"19.046571,72.909628"
"Dumping Ground, Nirankari Bhavan (BEST)","19.067218,72.925774"
Duncan Company (BEST),"19.168149,72.939281"
Durga Nagar (Jogeshwari-E) (BEST),"19.138217,72.872129"
Durga Parmeshwari Mandir (BEST),"19.219302,72.833409"
Durgamata Mandir (BEST),"19.202896,72.862976"
Dwarka Nagri (VVMT),"19.45504459,72.82072775"
Dwarkadhish Society (BEST),"19.166616,72.833097"
E.S.I.S Colony (Kandivali-E) (BEST),"19.200245,72.855018"
E.S.I.S Hospital (Thakur Village) (BEST),"19.20815396,72.87722298"
"E.S.I.S Hospital, Midc Police Station (BEST)","19.117952,72.867901"
E.S.I.S. Local Office Powai (BEST),"19.117329,72.889486"
E.S.I.S.Hospital (Kandivali- E) (BEST),"19.202107,72.856234"
E.S.I.S.Hospital (Mulund) (BEST),"19.179514,72.945631"
E.S.I.S.Hospital (Thane) (BEST),"19.2036,72.954026"
Edenwood (BEST),"19.22783333,72.9699"
Eksar (Metro),"19.25656566,72.85057263"
Eksar Village (BEST),"19.237649,72.845398"
Ekta Bhoomi Complex (BEST),"19.212675,72.838587"
Ekta Nagar (Kandivali-W) (BEST),"19.213785,72.837074"
Ekta Nagar Police Chowky- Bhandup-W (BEST),"19.140729,72.926633"
Ekta Society (BEST),"19.1065,72.875064"
Ekta Vivek Building (BEST),"19.25853,72.8519"
Elco Market (BEST),"19.055686,72.833173"
"Electric House, Colaba Depot (BEST)","18.920099,72.830029"
Elia Sarvat Junior College (BEST),"19.18726667,72.82481667"
Empire Mill (BEST),"19.000339,72.828523"
Erangal Village (BEST),"19.161726,72.786547"
Erla (BEST),"19.109263,72.840687"
Erla Masjid (BEST),"19.110951,72.837208"
Esic Nagar (BEST),"19.12197903,72.82990404"
Estrella Battery (BEST),"19.03951,72.854711"
Everard Nagar (BEST),"19.050949,72.875178"
Everard Society (BEST),"19.049387,72.877582"
Everest Society (Kurla-E) (BEST),"19.061336,72.890973"
Evershine City Gate (VVMT),"19.39965527,72.84034458"
Evershine Millenium Paradise (BEST),"19.21023,72.877093"
Evershine Nagar (Malad-W) (BEST),"19.193529,72.834256"
Famous Studio (BEST),"18.985918,72.824014"
Farookh Vidyalaya (BEST),"19.131248,72.847648"
Father Agnel Ashram (Bandra-W) (BEST),"19.045278,72.819282"
Fatherwadi (VVMT),"19.40322831,72.84626859"
Ferry Wharf (BEST),"18.956935,72.849399"
Fertiliser Township (Mono),"19.043849,72.893397"
Filmalaya (Amboli) (BEST),"19.127966,72.843687"
Filmistan (Goregaon-W) (BEST),"19.162848,72.845849"
Fire Brigade (BEST),"18.947317,72.840253"
Fire Brigade Junction (Antop Hill) (BEST),"19.025867,72.868513"
"Fire Brigade, Kharodi Colony (BEST)","19.195318,72.822064"
"Fire Brigade, Krishi Udyog (BEST)","19.165379,72.864833"
Fish Market (BEST),"19.247916,72.869018"
Five Gardens (BEST),"19.019735,72.854544"
"Flora Hotel, Watumal Engg.College (BEST)","19.00321,72.813562"
Flower Valley Society (BEST),"19.207818,72.972398"
Foreign Post Office (BEST),"18.935157,72.840318"
Forensic Lab (BEST),"19.07471,72.858718"
Forest Club (Powai) (BEST),"19.114435,72.906936"
Forest Office (Thane) (BEST),"19.189073,72.964609"
Forest Street (Powai) (BEST),"19.114815,72.908647"
Fortis Hospital (BEST),"19.16272,72.941801"
Fountain Hotel (VVMT),"19.28567812,72.90470369"
Four Bungalows (BEST),"19.131116,72.825483"
Four Bungalows Market (BEST),"19.127926,72.825409"
Free Press Journal Marg (BEST),"18.922967,72.823553"
Fulpada Dam (VVMT),"19.45575952,72.83032975"
G.D.Somani School (BEST),"18.916098,72.819201"
G.G.College (VVMT),"19.3424849,72.80753609"
G.G.College/ Govt.Hospital (VVMT),"19.3424849,72.80753609"
G.S Colony (Bandra-E) (BEST),"19.063682,72.847751"
G.T.Hospital (BEST),"18.946082,72.831718"
Gadaga Pada (VVMT),"19.4699601,72.85024687"
Gaddi Adda (BEST),"18.994836,72.853743"
Gadi Adda (BEST),"18.994646,72.853885"
Gadkari Quarry (BEST),"19.019748,72.907764"
Gagandeep (BEST),"19.113588,72.836873"
Gaimukh (Ghodbunder Rd) (BEST),"19.285021,72.936203"
Gaimukh (VVMT),"19.28644775,72.93311364"
Gaiwadi (BEST),"18.953916,72.820423"
Galaxy Apartments (BEST),"19.054369,72.823055"
Gammon House (BEST),"19.014666,72.826251"
Gandhi Maidan (Worli) (BEST),"19.00166,72.819053"
Gandhi Market (Chembur) (BEST),"19.045736,72.896071"
Gandhi Market (Ghatkopar-E) (BEST),"19.08099,72.904277"
Gandhi Market (Kings Circle) (BEST),"19.03299,72.858943"
"Gandhi Nagar  (Bandra-E), Chetana College (BEST)","19.060249,72.847715"
Gandhi Nagar (Kanjurmarg) (BEST),"19.124982,72.925686"
Gandhi Nagar (Thane) (BEST),"19.21813333,72.97013333"
Ganesh Chowk (BEST),"19.2154,72.834353"
Ganesh Mandir (Asalpha) (BEST),"19.095498,72.900613"
Ganesh Mandir (Barve Nagar) (BEST),"19.095886,72.900908"
Ganesh Mandir (Dahisar-E) (BEST),"19.265677,72.870692"
Ganesh Mandir (Kandivali-W) (BEST),"19.215635,72.822133"
"Ganesh Mandir, Kastur Park (BEST)","19.223739,72.848537"
Ganesh Nagar (Borivali -E) (BEST),"19.246486,72.864976"
"Ganesh Nagar (Dahisar), Gokul Anand Hotel (BEST)","19.246197,72.864729"
Ganesh Nagar (Wadala) (BEST),"19.018052,72.867748"
Ganesh Nagar Veer Abdul Hamid Road Junction (BEST),"19.02429,72.876825"
Ganesh Pada (BEST),"19.120824,72.885511"
Ganesh Society (Kandivali-W) (BEST),"19.219373,72.830841"
Ganesh Society (Nerul) (BEST),"19.028239,73.016517"
Ganesh Talkies (Lalbaug) (BEST),"18.989738,72.83461"
Ganeshmurti Nagar Police Chowky (BEST),"18.910166,72.813264"
Ganeshpure Phata (VVMT),"19.48876717,73.01524218"
Ganga Bhavan (BEST),"19.135034,72.810347"
Ganga Complex (BEST),"19.290496,72.857321"
Ganpat Patil Nagar (BEST),"19.253134,72.847147"
Gaondev Mandir Kopar (VVMT),"19.48491152,72.87264993"
Gaondevi Junction (Vakola) (BEST),"19.0824,72.85356667"
"Gaondevi Naka (Bhandup-W), Madhukun Building (BEST)","19.154967,72.932115"
Gaondevi Police Station (BEST),"18.95966667,72.812"
Garden Court Circle (BEST),"19.25830004,72.97715798"
Garib Nagar (BEST),"19.27196,72.963555"
Garlic Company (BEST),"18.979118,72.828245"
"Garodia Nagar, R.T.O (BEST)","19.072282,72.908042"
Garodia Palace (BEST),"19.074414,72.906674"
Gartan Pada (BEST),"19.252306,72.868274"
Garware Chowk (BEST),"19.109958,72.852899"
"Garware Chowk, Koldongri No.2 (BEST)","19.110363,72.851388"
Gate Way Of India (BEST),"18.923245,72.833615"
Gate Way Plaza (Powai) (BEST),"19.124085,72.913881"
Gaurai Pada Last Stop (VVMT),"19.42738043,72.84135705"
Gaurav Residency (BEST),"19.27458,72.86125"
Gautam Nagar (Kandivali-E) (BEST),"19.200194,72.878372"
Gautam Nagar (Midc-Marol) (BEST),"19.118432,72.869783"
"Gautam Nagar, Deonar Abattoir (BEST)","19.059112,72.913928"
Gavdevi Chowk (Sarsole) (BEST),"19.043137,73.014784"
Gavdevi Mandir (Thane) (BEST),"19.184538,72.972491"
Gawangaon Refineries (BEST),"19.009971,72.898374"
Gawanpada (Mulund-E) (BEST),"19.172911,72.961414"
Gawanpada Fire Brigade (Mulund-E) (BEST),"19.17245,72.966529"
Geeta Nagar (Colaba) (BEST),"18.913885,72.808543"
Geetanjali (Andheri-W) (BEST),"19.131263,72.84261"
Gelda Nagar (BEST),"19.097379,72.907816"
General Arun Kumar Vaidya Marg Junction (Goregaon-E) (BEST),"19.177102,72.858665"
Ghanicha Talav (VVMT),"19.46994833,72.83889763"
Ghansoli (Local-Trans),"19.11630949,73.00706215"
Ghansoli Railway Station (BEST),"19.116316,73.00787"
Ghansoli Sector 3 (BEST),"19.114808,73.003365"
Ghansoli Village (BEST),"19.12284,72.99966"
Gharkul (BEST),"19.037913,73.077509"
Ghati Pada (BEST),"19.18698333,72.94185"
Ghatkopar (Local-CR),"19.0856755,72.90835307"
Ghatkopar (Metro),"19.0856755,72.90835307"
Ghatkopar Bus Station (BEST),"19.088004,72.918272"
Ghatkopar Depot (BEST),"19.085954,72.919764"
Ghatkopar Pipe Line (BEST),"19.087584,72.902878"
Ghatkopar Police Station (BEST),"19.086915,72.899799"
Ghatkopar Post Office (BEST),"19.087468,72.905909"
Ghatkopar Sonapur (BEST),"19.073807,72.902807"
Ghatkopar Station (E) (BEST),"19.084777,72.908837"
Ghatkopar Station (W) (BEST),"19.086818,72.908874"
Ghatla Municipal School (BEST),"19.052759,72.906738"
Ghatla Village (BEST),"19.053951,72.905312"
"Ghatla Village, Gajanan Patil Marg (BEST)","19.052948,72.905597"
Ghodapdev (BEST),"18.982073,72.842839"
Ghodbunder Village (BEST),"19.29173,72.889335"
Ghodbunder Village Junction (BEST),"19.286835,72.893324"
Gilbert Hill (BEST),"19.122877,72.839252"
Giridhar Park (BEST),"19.195768,72.831829"
Girishikhar (BEST),"19.235973,72.87272"
Glaxo Company (BEST),"19.219066,72.967539"
Global City (VVMT),"19.36577202,72.85982753"
Goddev Naka (BEST),"19.304183,72.85873"
Godrej Chowk (Kemps Corner) (BEST),"18.96388,72.808535"
Godrej Company (Vikhroli-E) (BEST),"19.101323,72.929131"
Godrej Company (Vikhroli-W) (BEST),"19.104194,72.921299"
"Godrej Foods Company, Veg.Oils (Wadala-E) (BEST)","19.009485,72.861379"
Godrej Soap Company (Vikhroli-E) (BEST),"19.093173,72.926082"
Gokhale Bridge (Andheri-W) (BEST),"19.115538,72.847659"
Gokhale Bridge (BEST),"19.115214,72.849645"
Gokhale High School (Borivali -W) (BEST),"19.223704,72.850914"
Gokhale Vidyalaya (Kharghar) (BEST),"19.041489,73.065921"
Gokhivare (VVMT),"19.40056604,72.84297314"
Gokul Garden (Kandivali-E) (BEST),"19.210702,72.863152"
Gokul Heaven (Kandivali-E) (BEST),"19.209774,72.86747"
Gokulanand Hotel (BEST),"19.244002,72.865254"
Gokuldham (BEST),"19.174388,72.867566"
Gokuldham Market (BEST),"19.175545,72.869752"
Gokulwadi (VVMT),"19.47038976,72.85309979"
Gol Building (Kurla-W) (BEST),"19.067446,72.874998"
Gol Mandir (Bhuleshwar) (BEST),"18.958087,72.828832"
Golden Chemicals (Dahisar-E) (BEST),"19.262101,72.8735"
Golden Nest(Bhayander) (BEST),"19.294525,72.857166"
Golden Tobacco (Vile Parle-W) (BEST),"19.104836,72.839569"
